"filename", "language", "C#", "JSON", "XML", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\src\styles.css", "PostCSS", 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 5
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\tsconfig.app.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 2, 1, 20
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\tsconfig.json", "JSON with Comments", 0, 0, 0, 25, 0, 0, 0, 0, 2, 1, 28
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestAngular\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 2, 1, 16
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\AnswerDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\AnswerResultDto.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\ExamSessionDto.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\LeaderboardEntryDto.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\LoginDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\QuestionDto.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\RegisterDto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\ResetPasswordDto.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\UserAnswerDto.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DTOs\UserAnswerSubmissionDto.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Data\DbContext.cs", "C#", 48, 0, 0, 0, 0, 0, 0, 0, 0, 14, 62
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\DriversLicenseTestWebAPI.csproj", "XML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250605164429_InitialCreate.Designer.cs", "C#", 324, 0, 0, 0, 0, 0, 0, 0, 2, 116, 442
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250605164429_InitialCreate.cs", "C#", 304, 0, 0, 0, 0, 0, 0, 0, 3, 35, 342
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250609204618_Categories.Designer.cs", "C#", 326, 0, 0, 0, 0, 0, 0, 0, 2, 117, 445
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250609204618_Categories.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250621092027_AddingApplicationUser.Designer.cs", "C#", 336, 0, 0, 0, 0, 0, 0, 0, 2, 121, 459
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250621092027_AddingApplicationUser.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 0, 3, 10, 62
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250623175426_AddVerificationCodes.Designer.cs", "C#", 355, 0, 0, 0, 0, 0, 0, 0, 2, 129, 486
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250623175426_AddVerificationCodes.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 3, 4, 39
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250623175724_Enum.Designer.cs", "C#", 356, 0, 0, 0, 0, 0, 0, 0, 2, 129, 487
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250623175724_Enum.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 3, 4, 35
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250624183250_AddedLangauges.Designer.cs", "C#", 359, 0, 0, 0, 0, 0, 0, 0, 2, 130, 491
"c:\Users\Shotesko\Desktop\DLTProj\DriversLicenseTestWebAPI\Migrations\20250624183250_AddedLangauges.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
